player_name,age,club,matches_used,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score,current_score,current_rank,success_probability,potential_score,potential_rank,confidence_score,similar_gk_1,similarity_score_1,similar_gk_1_young_age,similar_gk_1_shot_stopping,similar_gk_1_handling,similar_gk_1_distribution,similar_gk_1_sweeping,similar_gk_1_reliability,similar_gk_2,similarity_score_2,similar_gk_3,similarity_score_3
Mio Backhaus,21.0,SV Werder Bremen,19,50.798932272560705,53.106030815741136,50.501481824987295,54.30232073488969,39.62473166514211,39.272665981422506,48.75491982425305,151,0.9609512,96.09512,25.0,67.03276494831418,Patrik Gunnarsson,0.9978977367351767,25.0,47.79913382597286,55.77736796942522,52.33638033197686,61.028847129485996,45.70604557326881,Marco Bizot,0.9969915157708205,Jari De Busser,0.9968739295494136
Vitezslav Jaros,24.0,Ajax Amsterdam,19,50.07187935522001,51.15952423263549,56.21952931458219,44.673140816231744,41.35920398597536,46.471808523751534,48.74914335528626,152,0.8070306,80.703064,41.0,69.18467474952195,Andrija Katic,0.99785182042956,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,Nacho Miras,0.9975416249237418,Taishi Brandon Nozawa,0.9955864405530134
Connor van den Berg,24.0,Vitesse Arnheim,13,46.69326539961707,54.11499548332142,52.29508930190516,44.6770913667712,46.85989554036417,44.43017336402555,48.73643902478641,153,0.012966743,1.2966743,73.0,60.5976884129755,Taishi Brandon Nozawa,0.9980358569903122,23.0,48.16414606588572,48.96902843973658,48.98613572643285,48.471602523229684,48.16491925958806,Brent Gabriël,0.9977956730008747,Nacho Miras,0.9976987770522631
Nediljko Labrovic,26.0,FC Augsburg,13,46.73404601456253,59.47113517515368,45.26526597258421,52.22421116478106,42.729374156444806,45.10348839787775,48.72770110294808,154,0.9837346,98.37346,12.0,60.747421512871085,Jean Butez,0.9962205951516474,30.0,50.77469879346565,55.81718097111096,50.82773405728266,58.35957802315499,51.093261271682856,Brent Gabriël,0.996056957832717,Patrik Gunnarsson,0.9960266130330779
Dennis Seimen,20.0,SC Paderborn 07,18,47.67579178675578,51.14545011209168,53.77796689530042,48.23064480744419,44.926476411177994,45.46285042920332,48.68002487718032,155,0.98307526,98.307526,14.0,67.60779522360914,Nacho Miras,0.9992859631079862,28.0,48.7938091651079,47.71209134733794,49.31243331379464,47.810417360875455,43.66765289912867,Andrija Katic,0.9989060159024068,Taishi Brandon Nozawa,0.9987020304744219
Tomas Koubek,33.0,FC Slovan Liberec,17,48.79302384070405,48.945064063862844,53.145891754152,48.488991580206644,45.75455390754468,45.280297383714995,48.662628536821934,156,,,,36.25075588178117,,,,,,,,,,,,
Michael Zetterer,30.0,SV Werder Bremen,65,49.53510403868773,50.07890009684416,52.26962110860866,47.764729400367585,44.083574526283705,45.28088849524225,48.57398666732207,157,,,,53.58426654857267,,,,,,,,,,,,
Bingourou Kamara,29.0,FC Lorient,3,41.99939837649485,44.772476271002844,59.637712041316945,70.40951970757058,45.87117501935634,36.89520335842599,48.55991871589619,158,,,,15.068561007527796,,,,,,,,,,,,
Tobias Lawal,25.0,KRC Genk,13,52.24076766934848,46.031271858146496,50.67392330059263,56.13626980138709,41.24760023469008,43.2884215048833,48.50714126984363,159,0.9219058,92.19058,30.0,60.252915581113015,Hidde Jurjus,0.9985398034258406,32.0,48.53062899835782,47.090276920827684,53.46750437751949,57.90990420427275,46.07347319147256,Jari De Busser,0.9975274391044024,Nacho Miras,0.9972383371012263
Mathew Ryan,33.0,RC Lens,13,49.55814204493281,48.35542655484955,48.99407277140961,47.37570493604844,48.962355044273785,41.709173131340044,48.5031389991878,160,,,,29.84608527273535,,,,,,,,,,,,
